wdid,icrsra,icrsdec,spectype,teff,logg,mass,logL,age,loghhe,logche,logch,lognh,logohe,logoh,lognahe,lognah,logmghe,logmgh,logalhe,logalh,logsihe,logsih,logphe,logph,logshe,logsh,logclhe,logcahe,logcah,logsche,logsch,logtihe,logtih,logvhe,logcrhe,logcrh,logmnhe,logmnh,logfehe,logfeh,logcohe,lognihe,lognih,logcuhe,logznhe,loggahe,loggehe,logsrhe,parallax,Dpc,comp,Mv
2MASS J16403197+2229289,16 40 31.99,22 29 26.75,DAZ,7502.0,8.065,0.615,,1.5,,,,,,,,,,,,,,,,,,,,,-8.47,,,,,,,,,,,,,,,,,,,,14.05140106,71.17,H,13.31
2MASS J22385855+1313039,22 38 58.67,13 13 03.15,DAZ,8147.0,8.023,0.591,,1.15,,,,,,,,,,,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,,,,,,15.82710664,63.18,H,13.21
EGGR 126,18 29 09.88,-04 29 40.24,DAZ,8993.0,7.963,0.576,-2.89,0.82,,,,,,,,,,,,,,,,,,,,,-8.83,,,,,,,,,,,,,,,,,,,,38.75868769,25.80,H,12.83
EGGR 259,16 37 40.60,13 40 32.56,DAZ,6878.0,7.99,0.568,-3.64,1.68,,,,,,,,,,,,,,,,,,,,,-9.72,,,,,,,,,,,,,,,,,,,,21.92200667,45.62,H,13.98
EGGR 298,14 58 06.66,29 37 19.94,DAZ,7342.0,7.975,0.578,-3.33,1.38,,,,,,,,,,-8.22,,,,,,,,,,,-9.31,,,,,,,,,,,-8.09,,,,,,,,,34.99748089,28.57,H,13.24
EGGR 360,13 47 23.40,10 21 35.76,DAZ,6926.0,7.976,0.577,-3.42,1.61,,,,,,,,,,,,,,,,,,,,,-11.13,,,,,,,,,,,,,,,,,,,,48.05968617,20.81,H,13.44
EGGR 511,00 35 18.20,-17 18 51.64,DAZ,9659.0,8.009,0.605,,0.7,,,,,,,,,,,,,,,,,,,,,-10.2,,,,,,,,,,,,,,,,,,,,29.94926651,33.39,H,12.62
EGGR 94,12 59 46.27,27 34 05.32,DAZ,8586.0,8.047,0.624,-3.16,1.04,,,,,,,,<-7.5,,-7.24,,-8.17,,<-7.2,,,,,,,-8.0,,<-9.2,,-9.48,,,<-8.2,,<-8.1,,-7.41,,,-8.33,,,,,,30.32293367,32.98,H,12.91
GALEX 2698722728901347034,11 24 47.88,00 13 07.25,DAZ,8614.0,5.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295447719,3384.69,,
GD 133,11 19 12.29,02 20 33.54,DAZ,12158.0,8.036,0.627,-2.5,0.3935,,,<-7.9,<-5.8,,-6.0,,<-6.3,,-6.5,,<-5.7,,-6.6,,,,<-7.0,,,-7.21,,,,<-8.0,,,<-6.8,,<-7.0,,<-5.9,,,<-7.0,,,,,,26.15076507,38.24,H,11.71
GD 237,22 33 38.80,-12 15 27.92,DAZ,20949.0,7.807,,,,,,,,,,,,,,,,,,,,,,,,-6.3,,,,,,,,,,,,,,,,,,,,8.030016858,124.53,H,
GD 362,17 31 34.35,37 05 17.24,DAZB,9825.0,7.99,0.574,-2.8,0.68,-1.5,-7.7,,,<-5.14,,-7.79,,-5.98,-4.8,-6.4,,-5.84,,,,<-6.70,,,-7.0,-5.1,-10.19,,-7.95,,-8.74,-7.41,,-7.47,,-5.65,-4.5,-8.5,-7.07,,-9.2,,,,-10.42,17.81452344,56.13,He,12.32
GD 821,01 16 58.86,-03 10 54.43,DAZ,20390.0,7.92,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.080827772,196.82,H,10.63
GJ 1042,02 11 22.27,39 55 13.51,DAZ,7196.0,7.933,0.553,-3.3,1.38,,,,,,,,,,-7.9,,-9.0,,,,,,,,,-8.5,,,,,,,,,,,-7.89,,,,,,,,,58.23059072,17.17,H,13.16
GJ 1052,02 46 31.04,-02 27 31.31,DAZ,6731.0,8.129,0.67,-3.62,2.29,,,,,,,,,,,,,,,,,,,,,-10.48,,,,,,,,,,,,,,,,,,,,46.5741597,21.47,H,13.93
GJ 2135,18 24 04.32,-13 08 52.52,DAZ,6079.0,8.022,0.601,-3.73,2.39,,,,,,,,,,,,,,,,,,,,,-10.706,,,,,,,,,,,,,,,,,,,,52.46918029,19.06,H,14.21
GJ 3112,01 43 00.07,-67 18 46.65,DAZ,6350.0,7.981,0.578,-3.6,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9077814,9.72,H,13.86
GJ 3182,02 48 35.65,54 23 16.30,DAZ,4942.0,8.018,0.591,-4.12,6.95,,,,,,,,,,,,,,,,,,,,,-12.7,,,,,,,,,,,,,,,,,,,,92.03619894,10.87,H,15.28
GJ 3223,03 25 11.30,-01 49 28.95,DAZH,5165.0,8.048,0.611,-4.01,5.57,,,,,,,,-9.1,,-8.3,,-9.2,,,,,,,,-11.4,-9.55,,,,,,,-9.9,,-10.3,,-8.7,,,,,,,,,59.06632711,16.93,H,14.94
GJ 3710,12 11 30.09,57 24 11.34,DAZ,5829.0,7.982,0.576,-3.65,2.54,,,,,,,,,,,,,,,,,,,,,-10.96,,,,,,,,,,,,,,,,,,,,50.07790021,19.97,H,14.01
GJ 4191,21 19 37.35,-55 50 17.52,DAZ,9529.0,7.967,0.579,-2.83,0.59,,,,,,,,,,,,,,,,,,,,,-7.6,,,,,,,,,,,,,,,,,,,,39.90801403,25.06,H,12.17
GJ 820.1,21 13 18.84,-81 49 18.96,DAZH,9914.0,8.242,0.751,-3.04,0.98,,,,,,,,,,,,,,,,,,,,,-8.6,,,,,,,,,,,,,,,,,,,,61.8086625,16.18,H,12.68
GJ 838.4,21 52 25.40,02 23 14.77,DAZ,17508.0,7.981,0.608,-1.78,0.2405,,,,,,,,,,,,,,,,,,,,,-7.6,,,,,,,,,,,,,,,,,,,,44.32554473,22.56,H,10.95
Gaia DR2 216683956238279168,03 43 06.51,32 01 38.81,DA;DAZ?,15381.0,8.241,0.761,,0.2692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.92064465,40.13,,
Gaia DR2 2940238304793401472,06 26 20.70,-18 50 05.82,DAZ,7302.0,7.968,0.574,,1.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9393909,35.79,,
Gaia DR2 3444888196042856192,05 52 34.14,31 24 01.48,DAZ,13613.0,8.173,0.714,,0.3512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92537031,41.80,,
Gaia DR2 3453292832862501120,06 09 12.00,35 25 49.47,DAZ,10031.0,8.054,0.633,,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.74989863,48.19,H,
Gaia DR2 352179415533582080,02 15 30.35,44 53 56.71,DAZ,6583.0,8.145,0.664,,2.48,,,,,,,,,,,,,,,,,,,,,-8.15,,,,,,,,,,,,,,,,,,,,9.88810181,101.13,H,
Gaia DR2 3952478391839564928,12 28 16.39,20 56 37.92,DAZ,6046.0,8.026,0.588,,2.62,,,,,,,,,,,,,,,,,,,,,-9.11,,,,,,,,,,,,,,,,,,,,19.03095208,52.55,H,
Gaia DR2 3954943428189717504,12 52 42.63,21 53 34.05,DAZ,6150.0,7.998,0.571,,2.3,,,,,,,,,,,,,,,,,,,,,-7.43,,,,,,,,,,,,,,,,,,,,10.87282287,91.97,H,
Gaia DR2 4068499305485306240,17 49 35.72,-23 55 02.68,DAZ,7255.0,7.959,0.568,,1.52,,,,,,,,,,,,,,,,,,,,,-8.5,,,,,,,,,,,,,,,,,,,,37.58944269,26.60,H,
Gaia DR2 4496751667093478016,18 02 18.55,13 54 06.52,DAZ,8055.0,8.019,0.588,,1.18,,,,,,,,,,,,,,,,,,,,,-8.1,,,,,,,,,,,,,,,,,,,,24.99574395,40.01,H,
Gaia DR2 4815192671404177280,04 45 38.04,-42 32 49.38,DAZ,6748.0,7.971,0.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.59765865,27.32,H,
Gaia DR2 4829340465475546880,03 43 47.38,-51 25 22.82,DAZ,6742.0,8.011,0.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.82915518,27.91,H,
Gaia DR2 4839901583898106496,04 26 44.33,-41 53 42.34,DAZ,6127.0,8.124,0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05940119,34.41,H,
Gaia DR2 4970215770740383616,02 13 49.05,-33 45 24.25,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3325,18.75,,
Gaia DR2 53278867446391040,03 58 26.75,21 57 22.04,DAZ,6777.0,8.217,0.727,,2.75,,,,,,,,,,,,,,,,,,,,,-7.39,,,,,,,,,,,,,,,,,,,,27.67340102,36.14,H,
Gaia DR2 5423545067716723712,09 17 08.57,-45 46 13.69,DAZ,6329.0,8.022,0.603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.30793807,28.32,,
Gaia DR2 5456685104084844032,10 59 15.61,-28 19 57.07,DAZ,6653.0,8.048,0.62,,1.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.34415719,39.46,,
Gaia DR2 5763373596110853248,09 05 12.38,-01 54 53.56,DAZ,6701.0,8.008,0.579,,1.84,,,,,,,,,,,,,,,,,,,,,-9.14,,,,,,,,,,,,,,,,,,,,11.64720567,85.86,H,
Gaia DR2 5827454649955072256,15 30 44.46,-62 03 08.97,DAZ,5879.0,8.167,0.691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.56029392,37.65,,
Gaia DR2 637527525030988160,09 24 59.31,21 07 16.07,DAZ,6230.0,8.178,0.685,,3.33,,,,,,,,,,,,,,,,,,,,,-8.29,,,,,,,,,,,,,,,,,,,,14.04864938,71.18,H,
Gaia DR2 6429048245152936320,20 20 17.25,-65 25 26.48,DAZ,6342.0,8.298,0.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.98587177,38.48,,
Gaia DR2 657673498630210176,08 40 26.99,15 18 40.13,DAZ,6420.0,8.159,0.673,,2.84,,,,,,,,,,,,,,,,,,,,,-8.82,,,,,,,,,,,,,,,,,,,,10.89394784,91.79,H,
Gaia DR2 859567752163281792,11 34 44.63,61 08 25.52,DAZ,7502.0,7.967,0.574,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.57858139,28.11,H,
Gaia DR2 866962856917166208,07 40 59.64,22 18 10.30,DAZ,5904.0,8.139,0.659,,3.94,,,,,,,,,,,,,,,,,,,,,-8.78,,,,,,,,,,,,,,,,,,,,16.52737805,60.51,H,
Gaia DR2 883243467325018496,07 07 55.03,26 51 02.83,DAZ,13332.0,7.893,0.548,,0.2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.31296615,75.11,,
Gaia DR3 1034536537888794880,08 32 06.99,57 41 59.87,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4914,222.65,,
Gaia DR3 1045754099112779776,10 07 30.72,57 14 47.50,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4047,2470.97,,
Gaia DR3 5334619419176460928,,,DAZ,4951.0,7.835,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.54,22.45,,
HD 340611,20 34 21.41,25 03 40.74,DAZ,20145.0,7.932,0.587,-1.58,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40845955,14.83,H,10.77
HE 0106-3253,01 08 36.07,-32 37 43.72,DAZ,15700.0,7.999,0.62,,0.17,,,,,,,,,,,,,,,,,,,,,-5.8,,,,,,,,,,,,,,,,,,,,14.51324428,68.90,H,
KIC 4829241,19 19 27.67,39 58 39.30,DAZ,20221.0,7.89,0.57,,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2503,108.10,,
LAMOST J003627.19+271000.7,00 36 27.19,27 10 00.68,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6487,1541.54,,
LAMOST J011747.48+372408.9,01 17 47.51,37 24 08.79,DAZ,17346.0,8.46,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5591,104.61,,
LAMOST J013307.37+354910.8,01 33 07.34,35 49 10.81,DAZ,14601.0,7.92,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7883,128.40,,
LAMOST J020000.70+273230.2,02 00 00.71,27 32 30.35,DAZ?,28140.0,7.06,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8489,1178.00,,
LAMOST J021134.03+583618.3,02 11 34.04,58 36 18.37,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4163,2402.11,,
LAMOST J024956.23+012130.8,02 49 56.23,01 21 30.87,DAZ?,40338.0,7.13,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2445,4089.98,,
LAMOST J032403.24+324027.4,03 24 03.26,32 40 27.39,DAZ,13000.0,8.05,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4679,154.61,,
LAMOST J033900.06+242510.4,03 39 00.08,24 25 10.30,DA;DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8247,261.46,,
LAMOST J034021.55+443542.3,03 40 21.54,44 35 42.40,DAZ?,30274.0,7.45,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2836,437.91,,
LAMOST J035307.96+343222.8,03 53 07.96,34 32 22.84,DAZ,24017.0,7.16,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5054,399.14,,
LAMOST J040309.50-005913.6,04 03 09.51,-00 59 13.64,DAZ?,40344.0,8.2,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.804,1243.78,,
LAMOST J040335.43-005510.0,04 03 35.43,-00 55 10.08,DAZ?,44123.0,8.62,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8969,1114.95,,
LAMOST J040755.20+465854.0,04 07 55.20,46 58 54.01,DAZ?,27542.0,7.29,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMOST J043657.89+533804.9,04 36 57.91,53 38 04.95,DAZ?,28459.0,7.06,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3939,185.39,,
LAMOST J051354.60+364559.2,05 13 54.60,36 45 59.21,DAZ,29468.0,7.57,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2048,4882.81,,
LAMOST J055411.88+220459.7,05 54 11.89,22 04 59.84,DAZ?,27754.0,7.34,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6998,1428.98,,
LAMOST J060104.54+305859.8,06 01 04.55,30 58 59.89,DA;DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,3257.33,,
LAMOST J060804.06+144418.3,06 08 04.06,14 44 18.27,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3352,2983.29,,
LAMOST J061335.54+345632.1,06 13 35.55,34 56 32.20,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0052,994.83,,
LAMOST J061838.08+360401.3,06 18 38.08,36 04 01.57,DAZ?,31529.0,7.09,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5541,281.37,,
LAMOST J062159.49+252335.9,06 21 59.48,25 23 36.21,DA;DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2084,138.73,,
LAMOST J063040.98+052654.1,06 30 40.99,05 26 54.21,DAZ?,30614.0,7.07,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8912,1122.08,,
LAMOST J063358.33+031416.7,06 33 58.34,03 14 16.81,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0237,976.85,,
LAMOST J063810.90+264040.8,06 38 10.91,26 40 40.80,DAZ?,38654.0,7.05,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2041,4899.56,,
LAMOST J063919.88+264102.5,06 39 19.88,26 41 02.54,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2934,3408.32,,
LAMOST J064254.01+051123.8,06 42 54.01,05 11 23.78,DA;DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMOST J064452.84+260947.75,06 44 52.85,26 09 47.87,DAZ?,17205.0,7.8,0.51,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7161,102.92,,
LAMOST J065601.55+115745.8,06 56 01.55,11 57 45.85,DAZ?,31347.0,7.42,0.41,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307,63.0,,
LAMOST J065816.33+261003.9,06 58 16.35,26 10 04.22,DAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMOST J070005.39+270142.8,07 00 05.40,27 01 42.86,DAZ?,30165.0,7.1,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2521,307.49,,
LAMOST J070905.07+373916.3,07 09 05.07,37 39 16.39,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5819,1718.51,,
LAMOST J071223.81+260933.41,07 12 23.78,26 09 33.11,DAZ,14278.0,7.75,0.48,,0.159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3853,135.40,,
LAMOST J071831.42+352335.2,07 18 31.47,35 23 34.78,DA;DAZ?,25186.0,7.91,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.218,310.75,,
LAMOST J074259.49-053315.6,07 42 59.49,-05 33 15.80,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1535,6514.66,,
LAMOST J103142.64+323105.9,10 31 42.63,32 31 05.86,DAZ?,45772.0,7.82,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6333,1579.03,,
LAMOST J122320.42+252924.6,12 23 28.06,25 30 22.67,DAZ?,34586.0,7.33,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5021,285.54,,
LAMOST J122846.96+254757.7,12 28 46.97,25 47 57.71,DAZ?,36441.0,7.17,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMOST J124943.56+262604.5,12 49 43.57,26 26 04.13,DAZ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2373,808.21,,
LAMOST J132605.12+545035.0,13 26 05.14,54 50 34.99,DAZ?,47438.0,7.8,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1905,456.52,,
LAMOST J132731.96+544931.9,13 27 41.80,54 50 03.75,DAZ?,50498.0,7.62,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9791,251.31,,
LAMOST J194848.88+464323.9,19 48 50.63,46 43 20.36,DAZ?,28542.0,7.21,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5597,1786.67,,
LAMOST J195930.64+440952.5,19 59 30.66,44 09 52.76,DAZ?,33740.0,7.86,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAMOST J212643.49+410741.5,21 26 43.37,41 07 42.40,DAZ?,31655.0,8.4,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5722,388.77,,
LAWD 52,13 38 49.21,70 17 07.25,DAZ,20319.0,7.928,0.585,-1.48,0.07515,,,,,,,,,,-5.58,,,,,,,,,,,-6.666,,,,,,,,,,,,,,,,,,,,37.7290701,26.50,H,10.59
LP 815-31,20 31 09.36,-16 58 40.89,DAZ,5460.0,7.9,0.525,-3.85,3.51,,,,,,,,,,,,,,,,,,,,,-10.15,,,,,,,,,,,,,,,,,,,,43.82525681,22.82,H,14.51
LSPM J0132+0529,01 32 22.91,05 29 22.66,DAZ,7355.0,7.977,0.562,,1.4,,,,,,,,,,,,,,,,,,,,,-7.44,,,,,,,,,,,,,,,,,,,,9.818169004,101.85,H,
LSPM J0543+3637,05 43 07.16,36 37 00.31,DAZ,6385.0,8.03,0.608,-3.48,2.18,,,,,,,,,,,,,,,,,,,,,-8.55,,,,,,,,,,,,,,,,,,,,44.97581993,22.23,H,13.59
NGC 4688,12 47 46.52,04 20 09.69,DAZ:,89520.0,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.784084733,560.51,,
PB 389,10 35 35.23,39 55 01.69,DAZ?,15112.0,7.86,0.54,,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5882,131.78,,
